entry_ts,exit_ts,direction,gross_return,net_return,hold_bars,regime,confidence,conviction
1701800220000,1701800940000,SHORT,-0.0010352036011727855,-0.003235203601172786,12,BEAR,0.9999999999893576,0.999999999742514
1701800460000,1701801180000,SHORT,0.001117656077449409,-0.0010823439225505912,12,BEAR,0.9999997520826379,0.9999963419341166
1701800520000,1701801240000,SHORT,-0.00255667974304148,-0.0047566797430414805,12,BEAR,0.9999368954864456,0.999387073565359
1701801180000,1701801900000,SHORT,-0.003394535820583401,-0.005594535820583401,12,BEAR,0.9999996395433903,0.9999948042028605
1701801300000,1701802020000,SHORT,-0.0011357183418513178,-0.0033357183418513178,12,BEAR,0.9999999998588122,0.9999999969511807
1701802560000,1701803280000,SHORT,0.001417635384179189,-0.000782364615820811,12,BEAR,0.9999999999829872,0.9999999995970354
1701802680000,1701803400000,SHORT,-0.00023289910588924204,-0.0024328991058892423,12,BEAR,0.999999999991058,0.9999999997819317
1701802740000,1701803460000,SHORT,-0.0015341645796699557,-0.003734164579669956,12,BEAR,0.9999999999979712,0.9999999999471513
1701802860000,1701803580000,SHORT,-0.004002668445630421,-0.006202668445630421,12,BEAR,0.9929776013175519,0.961934429099074
1701803100000,1701803820000,SHORT,-0.000279889288237065,-0.002479889288237065,12,BEAR,0.9999910345114345,0.9998969941242705
1701804240000,1701804960000,SHORT,0.00024108430430593055,-0.0019589156956940695,12,BEAR,0.9999999999846293,0.9999999996342646
1701804360000,1701805080000,SHORT,0.002826455624646693,0.000626455624646693,12,BEAR,0.999999999980967,0.9999999995514234
1701804420000,1701805140000,SHORT,0.0024308835011800835,0.00023088350118008341,12,BEAR,0.9986346132101944,0.9905599280400496
1701804480000,1701805200000,SHORT,0.005371783997738132,0.003171783997738132,12,BEAR,0.9999999999936996,0.9999999998438334
1701804720000,1701805440000,SHORT,0.0019896837776517944,-0.0002103162223482057,12,BEAR,0.9999999986361631,0.999999973410032
1701804780000,1701805500000,SHORT,0.0021086474501108327,-9.135254988916746e-05,12,BEAR,0.9999999999979762,0.9999999999472776
1701804840000,1701805560000,SHORT,0.004340573522059148,0.002140573522059148,12,BEAR,0.9532103682809369,0.8280087076082022
1701804900000,1701805620000,SHORT,0.006616528720995943,0.004416528720995943,12,BEAR,0.9999995543862386,0.9999936627322071
1701804960000,1701805680000,SHORT,0.004068449055894195,0.0018684490558941945,12,BEAR,0.9999999999979614,0.9999999999469064
1701805020000,1701805740000,SHORT,0.0014313125091395405,-0.0007686874908604596,12,BEAR,0.999997017328111,0.999962743638592
1701805140000,1701805860000,SHORT,0.0004079822616408305,-0.0017920177383591697,12,BEAR,0.9999999999978576,0.999999999944304
1701805200000,1701805920000,SHORT,-0.0008549779704377486,-0.0030549779704377488,12,BEAR,0.9999999350243669,0.9999989620668913
1701805260000,1701805980000,SHORT,-0.0014153919991468623,-0.0036153919991468624,12,BEAR,0.9999999999119198,0.9999999980585569
1701805320000,1701806040000,SHORT,-0.0008549779704377486,-0.0030549779704377488,12,BEAR,0.9999996747356257,0.9999952810636773
1701805740000,1701806460000,SHORT,-0.000654554813973303,-0.0028545548139733033,12,BEAR,0.9999992444985059,0.9999896187422229
1701806940000,1701807660000,SHORT,0.007708867747578466,0.005508867747578465,12,BEAR,0.9999999607646396,0.9999993552278358
1701807000000,1701807720000,SHORT,0.005491350623956751,0.0032913506239567506,12,BEAR,0.999999906302512,0.9999985344832703
1701807960000,1701808680000,SHORT,-0.004496209954233344,-0.006696209954233345,12,BEAR,0.9999999999708226,0.9999999993251864
1701808020000,1701808740000,SHORT,-0.0033052026834141514,-0.0055052026834141515,12,BEAR,0.8575465000315573,0.627354958833493
1701808080000,1701808800000,SHORT,-0.0021657030179471964,-0.004365703017947196,12,BEAR,0.9999999867621775,0.9999997693590265
1701808200000,1701808920000,SHORT,-0.0010623063851962391,-0.003262306385196239,12,BEAR,0.9999999645175717,0.9999994136533182
1701808260000,1701808980000,SHORT,-0.0017089148390770888,-0.0039089148390770885,12,BEAR,0.9999999999964551,0.9999999999097741
1701808320000,1701809040000,SHORT,-0.0011456257118451026,-0.0033456257118451025,12,BEAR,0.999999999966872,0.9999999992381028
1701808380000,1701809100000,SHORT,-0.0025967899492881493,-0.004796789949288149,12,BEAR,0.9999998646007702,0.9999979276073174
1701813720000,1701814440000,SHORT,-0.005705137277101613,-0.007905137277101614,12,BEAR,0.9999964722599526,0.9999564741732175
1701813960000,1701814680000,SHORT,-0.005646286743923056,-0.007846286743923056,12,BEAR,0.9999999999974731,0.9999999999347303
1701814020000,1701814740000,SHORT,-0.0074016696789741265,-0.009601669678974127,12,BEAR,0.9999999999979712,0.9999999999471509
1701814080000,1701814800000,SHORT,-0.004976198871650276,-0.007176198871650276,12,BEAR,0.9999996644299468,0.9999951410768869
1701814140000,1701814860000,SHORT,-0.0026301065699798104,-0.0048301065699798106,12,BEAR,0.9999999999406383,0.9999999986689735
1701814200000,1701814920000,SHORT,-0.002732722143864598,-0.004932722143864598,12,BEAR,0.9999999999979766,0.9999999999472915
1701814320000,1701815040000,SHORT,-0.0036390902054601743,-0.005839090205460175,12,BEAR,0.9999989184484488,0.9999854917306681
1701814380000,1701815100000,SHORT,-0.002533070644525689,-0.004733070644525689,12,BEAR,0.9999999995989388,0.9999999917296986
1701814740000,1701815460000,SHORT,-0.0004578363399380378,-0.002657836339938038,12,BEAR,0.9794996319276814,0.9089941724247765
1701814860000,1701815580000,SHORT,-0.002249718785151728,-0.004449718785151728,12,BEAR,0.9999935486542966,0.9999239469591319
1701814920000,1701815640000,SHORT,-0.002898901098901131,-0.0050989010989011315,12,BEAR,0.9999999997691449,0.9999999951212547
1701815040000,1701815760000,SHORT,-0.0007186064293365737,-0.002918606429336574,12,BEAR,0.9999808300179855,0.9997930140367511
1701815160000,1701815880000,SHORT,0.0006265362186130727,-0.0015734637813869276,12,BEAR,0.9999999973551525,0.999999950035821
1701815220000,1701815940000,SHORT,0.0012477234519473242,-0.0009522765480526759,12,BEAR,0.999999999741265,0.9999999945595379
1701815280000,1701816000000,SHORT,0.002518891687657526,0.00031889168765752594,12,BEAR,0.9999999999979661,0.9999999999470258
1701815340000,1701816060000,SHORT,0.003808662248356149,0.0016086622483561489,12,BEAR,0.999999999860468,0.9999999969854139
1701817860000,1701818640000,SHORT,-0.001293789370208998,-0.003493789370208998,12,BEAR,0.9999999991773643,0.9999999835804622
1701818100000,1701818880000,SHORT,-0.0021672325919968928,-0.004367232591996893,12,BEAR,0.9999999999378348,0.9999999986088955
1701818340000,1701819120000,SHORT,0.0008068534039954354,-0.0013931465960045648,12,BEAR,0.9999999999730801,0.9999999993751998
1701819600000,1701820380000,SHORT,-0.0011123470522803114,-0.0033123470522803114,12,BEAR,0.9999999999979746,0.9999999999472392
1701819840000,1701820680000,SHORT,0.0026367831245880024,0.0004367831245880023,12,BEAR,0.9999999967229594,0.9999999387340294
1701819900000,1701820740000,SHORT,0.0029785504826964787,0.0007785504826964785,12,BEAR,0.9999999561972595,0.9999992845617236
1701820020000,1701820860000,SHORT,0.002384178206323823,0.00018417820632382273,12,BEAR,0.9999999981552892,0.9999999645442089
1701820140000,1701820920000,SHORT,0.0016879401408450064,-0.0005120598591549937,12,BEAR,0.999999999997614,0.9999999999382286
1701821340000,1701822120000,SHORT,0.0013674076944757288,-0.0008325923055242713,12,BEAR,0.9999634113089211,0.9996264653630068
1701821580000,1701822360000,SHORT,-0.0014624365560610745,-0.0036624365560610746,12,BEAR,0.9999999999979815,0.9999999999474133
1701821640000,1701822420000,SHORT,-0.0008937674615679991,-0.003093767461567999,12,BEAR,0.9999999996732359,0.9999999931998914
1701821760000,1701822540000,SHORT,0.0012522929307182806,-0.0009477070692817196,12,BEAR,0.9999999999979629,0.9999999999469474
1701822240000,1701822960000,SHORT,0.003283775902102917,0.001083775902102917,12,BEAR,0.9999999999979753,0.9999999999472563
1701822480000,1701823200000,SHORT,-0.00035313228335334413,-0.0025531322833533443,12,BEAR,0.9999999999979696,0.999999999947115
1701822540000,1701823260000,SHORT,-0.001631346578366478,-0.003831346578366478,12,BEAR,0.9999999999716895,0.9999999993443959
1701822600000,1701823320000,SHORT,-0.0011331131898351776,-0.0033331131898351775,12,BEAR,0.9999999999979824,0.9999999999474345
1701822660000,1701823380000,SHORT,-0.0009807039864292095,-0.0031807039864292096,12,BEAR,0.9999999999979868,0.9999999999475457
1701825240000,1701825960000,SHORT,0.00253456170547636,0.00033456170547635977,12,BEAR,0.9999999999158297,0.9999999981410892
1701825300000,1701826020000,SHORT,0.0016563876651981737,-0.0005436123348018264,12,BEAR,0.9999999767697901,0.9999996071610646
1701826800000,1701827580000,SHORT,0.00036705767891294643,-0.0018329423210870538,12,BEAR,0.9999914441352594,0.9999013361479088
1701826860000,1701827820000,SHORT,-0.0011331444759206154,-0.0033331444759206155,12,BEAR,0.9999999999979721,0.999999999947175
1701826980000,1701828120000,SHORT,0.00043315395750226067,-0.0017668460424977396,12,BEAR,0.9999999999979647,0.9999999999469912
1701830340000,1701831300000,SHORT,-0.002601402630208654,-0.004801402630208654,12,BEAR,0.9999999983741142,0.9999999685624142
1701830400000,1701831360000,SHORT,-0.002648777819364837,-0.004848777819364837,12,BEAR,0.9999999987866537,0.9999999762142323
1701840660000,1701841440000,SHORT,0.0010172126596336016,-0.0011827873403663985,12,BEAR,0.9999999999979807,0.9999999999473921
1701840720000,1701841500000,SHORT,0.00017777777777777779,-0.002022222222222222,12,BEAR,0.9999999999979833,0.9999999999474571
1701857820000,1701858540000,SHORT,-0.00696188286383837,-0.00916188286383837,12,BEAR,0.9999999990150901,0.9999999805041503
1701858120000,1701858840000,SHORT,-0.0012841563641472324,-0.0034841563641472327,12,BEAR,0.9999999999635169,0.9999999991644379
1701859620000,1701860400000,SHORT,-0.0007853835069462901,-0.0029853835069462904,12,BEAR,0.9999999996606749,0.9999999929503011
1701859740000,1701860520000,SHORT,0.0008411428974070859,-0.0013588571025929142,12,BEAR,0.999999999997972,0.9999999999471724
1701861240000,1701861960000,SHORT,0.0011613166316497385,-0.0010386833683502616,12,BEAR,0.9999988180946443,0.9999842410132576
1701861300000,1701862020000,SHORT,0.0002285288290227821,-0.001971471170977218,12,BEAR,0.9999999996383017,0.999999992506859
1701861420000,1701862140000,SHORT,0.003672694105978902,0.001472694105978902,12,BEAR,0.9999998862824521,0.9999982413972774
1701861660000,1701862380000,SHORT,0.003978402955384988,0.0017784029553849878,12,BEAR,0.9998675618029405,0.9988030150734034
1701861720000,1701862440000,SHORT,0.0061234311618550506,0.00392343116185505,12,BEAR,0.999999990643234,0.9999998340204969
1701861840000,1701862560000,SHORT,0.0008544574195386253,-0.0013455425804613748,12,BEAR,0.9999972674870392,0.9999656504792084
1701861960000,1701862680000,SHORT,0.003976143141153178,0.0017761431411531781,12,BEAR,0.9998013092408597,0.9982775874748381
1701862380000,1701863100000,SHORT,-0.0037089871611983207,-0.005908987161198321,12,BEAR,0.9999832139154924,0.999816724884158
1701862440000,1701863160000,SHORT,-0.004280008033383235,-0.006480008033383234,12,BEAR,0.9999999978126556,0.9999999582991985
1701862560000,1701863280000,SHORT,-0.002280501710376315,-0.004480501710376315,12,BEAR,0.9979042597503754,0.9863284335413616
1701862620000,1701863340000,SHORT,-0.0032509463371186817,-0.005450946337118682,12,BEAR,0.9999999449764838,0.9999991127157258
1701862740000,1701863460000,SHORT,-0.002897867409778088,-0.005097867409778088,12,BEAR,0.9999954580056888,0.9999450049204158
1701862800000,1701863520000,SHORT,-0.0017069701280228243,-0.003906970128022824,12,BEAR,0.9999999993919158,0.9999999876939902
1701862860000,1701863580000,SHORT,-0.002110885949943117,-0.004310885949943118,12,BEAR,0.9999999999665657,0.9999999992313593
1701862920000,1701863640000,SHORT,-0.0018303952232016246,-0.004030395223201625,12,BEAR,0.9999999999979788,0.9999999999473432
1701864420000,1701865140000,SHORT,0.0006346967559944224,-0.0015653032440055778,12,BEAR,0.9999985283925562,0.9999806719197114
1701864660000,1701865380000,SHORT,0.003069086390485516,0.0008690863904855157,12,BEAR,0.9999996565031256,0.9999950335997265
1701864840000,1701865620000,SHORT,0.0003087481585377687,-0.0018912518414622315,12,BEAR,0.9997975135764537,0.9982481716850217
1701864960000,1701865740000,SHORT,0.0011630036832127391,-0.001036996316787261,12,BEAR,0.9999997227036058,0.9999959367097783
1701865020000,1701865800000,SHORT,0.0005641748942171752,-0.0016358251057828248,12,BEAR,0.9999569707867803,0.999567064599792
1701865860000,1701866640000,SHORT,-0.002435366989547267,-0.004635366989547267,12,BEAR,0.9999997909244729,0.9999968826220416
1701865920000,1701866700000,SHORT,-0.0023063431037479314,-0.004506343103747932,12,BEAR,0.999999999997966,0.9999999999470224
1701865980000,1701866760000,SHORT,-0.003908307964968415,-0.0061083079649684145,12,BEAR,0.9992937154636578,0.9946928709892079
1701866040000,1701866820000,SHORT,-0.003103721158869426,-0.005303721158869426,12,BEAR,0.9999999999979624,0.9999999999469346
1701866460000,1701867240000,SHORT,-0.0009771169767471286,-0.0031771169767471287,12,BEAR,0.999992972348796,0.9999177004024072
1701866700000,1701867480000,SHORT,0.0020177978996457147,-0.00018220210035428544,12,BEAR,0.9999999999473018,0.9999999988122577
1701866940000,1701867720000,SHORT,0.001241930201324579,-0.0009580697986754211,12,BEAR,0.9999993644975221,0.9999911675789646
1701867360000,1701868080000,SHORT,-0.0005633802816901088,-0.002763380281690109,12,BEAR,0.9999999999970505,0.9999999999243128
1701869160000,1701869880000,SHORT,-2.8601916328458034e-05,-0.002228601916328458,12,BEAR,0.9999999982784616,0.9999999668028677
1701869220000,1701869940000,SHORT,0.00044434472351633056,-0.0017556552764836696,12,BEAR,0.9999999926663896,0.9999998682811557
1701869340000,1701870060000,SHORT,-0.0014038165297742893,-0.0036038165297742897,12,BEAR,0.9999999999979744,0.9999999999472332
1701869460000,1701870180000,SHORT,0.0019696117051209586,-0.00023038829487904153,12,BEAR,0.9999942927254468,0.9999320819636087
1701873480000,1701874200000,SHORT,-0.0034845663026348817,-0.005684566302634882,12,BEAR,0.9999999479364426,0.999999157825658
1701873540000,1701874260000,SHORT,-0.0023987054045830182,-0.004598705404583018,12,BEAR,0.9999999994153755,0.9999999881475965
1701873600000,1701874320000,SHORT,-0.0015309206259568576,-0.003730920625956858,12,BEAR,0.9999999999937648,0.9999999998453818
1701873660000,1701874380000,SHORT,-0.0016934801016087098,-0.0038934801016087097,12,BEAR,0.9999999999979805,0.9999999999473856
1701873720000,1701874440000,SHORT,0.00045372850296021604,-0.001746271497039784,12,BEAR,0.9999999999952239,0.9999999998800874
1701873780000,1701874500000,SHORT,0.0019076461887733624,-0.0002923538112266377,12,BEAR,0.9824392020675831,0.9195458148759267
1701873840000,1701874560000,SHORT,0.0025463166213012555,0.0003463166213012554,12,BEAR,0.9999999999763759,0.9999999994485238
1701873900000,1701874620000,SHORT,0.0028071330589849426,0.0006071330589849425,12,BEAR,0.9999999461706153,0.999999130896471
1701873960000,1701874680000,SHORT,0.002530995363866159,0.0003309953638661587,12,BEAR,0.9999999999979718,0.9999999999471693
1701874020000,1701874740000,SHORT,0.0014068655036578504,-0.0007931344963421497,12,BEAR,0.9999999998017606,0.9999999957823519
1701874080000,1701874800000,SHORT,0.0015815858532753386,-0.0006184141467246616,12,BEAR,0.9999999998492449,0.9999999967539149
1701874140000,1701874860000,SHORT,0.0017610594533671458,-0.0004389405466328543,12,BEAR,0.9999999997848136,0.9999999954383038
1701874200000,1701874920000,SHORT,0.0030441734607815256,0.0008441734607815255,12,BEAR,0.894686617658037,0.6936105381919928
1701874260000,1701874980000,SHORT,0.0018607065406253942,-0.0003392934593746059,12,BEAR,0.9999999063160575,0.9999985346827506
1701874320000,1701875040000,SHORT,0.00011893853961097088,-0.0020810614603890294,12,BEAR,0.9999999824055819,0.9999996980138709
1701874380000,1701875100000,SHORT,0.0012459495632572235,-0.0009540504367427766,12,BEAR,0.9999999995361455,0.9999999904971508
