i,timestamp_ms,close,log_return,regime_label,signal_valid,confidence,conviction,position_size,signed_position_size,execution_side,engine_status,expected_volatility,edge_score,prob_bull,prob_bear,prob_crisis
55,1701393660000,38911.9,0.00041384079544266416,BEAR,True,0.9999999999524197,0.9999999989228506,0.0,0.0,flat,OK,0.01080354309394982,0.5392891717281705,1.0051325959648424e-12,0.9999999999524197,4.6575189099830177e-11
56,1701393720000,38912.4,1.2849457046385196e-05,BEAR,True,0.9999999934328407,0.9999998813866886,0.0,0.0,flat,OK,0.010798307743417893,0.45143133738253644,1.0038448444138892e-12,0.9999999934328407,6.566155390505421e-09
57,1701393780000,38925.2,0.00032888989679481664,BEAR,True,0.9999999999631961,0.9999999991574484,0.0,0.0,flat,OK,0.010793886537313451,0.3811450699060292,1.002887199065918e-12,0.9999999999631961,3.580111242502373e-11
58,1701393840000,38925.2,0.0,BEAR,True,0.9999999999979914,0.9999999999476602,0.0,0.0,flat,OK,0.010789667914201662,0.32491605592482337,1.0021638374423026e-12,0.9999999999979914,1.006491512324922e-12
59,1701393900000,38985.0,0.001535100968638237,BEAR,True,0.999999999958961,0.9999999990649189,0.0,0.0,flat,OK,0.010791555220576728,0.45993284473985874,1.0116473562726454e-12,0.999999999958961,4.0027282308773046e-11
60,1701393960000,38970.0,-0.0003848374109454607,BEAR,True,0.9999997930425041,0.9999969122843119,0.0,0.0,flat,OK,0.010787891082826268,0.38794627579188695,1.0087326910760228e-12,0.9999997930425041,2.0695648722553725e-07
61,1701394020000,38980.6,0.00027196711931231,BEAR,True,0.9999999996366106,0.9999999924734226,0.0,0.0,flat,OK,0.010784466897272239,0.3303570206335095,1.0065471814396214e-12,0.9999999996366106,3.6238291359788234e-10
62,1701394080000,39014.3,0.000864159120588238,BEAR,True,0.9999980462921808,0.9999748439572634,0.0,0.0,flat,OK,0.010783023319929511,0.46428561650680766,1.0065234355509187e-12,0.9999980462921808,1.9537068126801808e-06
63,1701394140000,39019.7,0.00013840120994995498,BEAR,True,0.9999999082823182,0.9999985636661848,0.0,0.0,flat,OK,0.010779969053946232,0.3914284932054461,1.0048891664053694e-12,0.9999999082823182,9.171667687645175e-08
64,1701394200000,39053.5,0.0008658541499943762,BEAR,True,0.9999999999927214,0.9999999998207992,0.0,0.0,flat,OK,0.010779003042986863,0.513142794564357,1.0065363525849168e-12,0.9999999999927214,6.272108484512704e-12
65,1701394260000,39053.2,-7.68179938480903e-06,BEAR,True,0.9999999999979805,0.9999999999473856,0.0,0.0,flat,OK,0.010776320600268419,0.43051423565148567,1.0048945186473993e-12,0.9999999999979805,1.014683555940415e-12
66,1701394320000,39050.0,-8.194286538293927e-05,BEAR,True,0.9999999999979854,0.9999999999475089,0.0,0.0,flat,OK,0.010773945913764259,0.36441138852118854,1.0036684129175727e-12,0.9999999999979854,1.0110052387507365e-12
67,1701394380000,39019.6,-0.0007787922965280504,BEAR,True,0.9999986635558326,0.9999823299523581,0.0,0.0,flat,OK,0.010773262462892738,0.31152911081695084,1.0058752359900735e-12,0.9999986635558326,1.3364431616079835e-06
68,1701394440000,39020.0,1.0251205798185895e-05,BEAR,True,0.9999999357507063,0.9999989730121033,0.0,0.0,flat,OK,0.01077117742301596,0.2692232886535607,1.0044002828803148e-12,0.9999999357507063,6.424828923489756e-08
69,1701394500000,39055.6,0.0009119366989728781,BEAR,True,0.999999999990726,0.9999999997742083,0.0,0.0,flat,OK,0.010771319572109047,0.2353786309228486,1.0068866264978888e-12,0.999999999990726,8.267228161325085e-12
70,1701394560000,39078.5,0.0005861717395017445,BEAR,True,0.9999999999976481,0.9999999999390753,0.0,0.0,flat,OK,0.010770254244724154,0.3883029047382789,1.0051763461899514e-12,0.9999999999976481,1.346777556396135e-12
71,1701394620000,39087.9,0.00024051254875016701,BEAR,True,0.9999999999979845,0.9999999999474872,0.0,0.0,flat,OK,0.010768617530866208,0.33064232379062314,1.0038834831344834e-12,0.9999999999979845,1.011650449401506e-12
72,1701394680000,39065.1,-0.0005834709005882611,BEAR,True,0.9999999999979824,0.9999999999474357,0.0,0.0,flat,OK,0.0107678366399074,0.28451385903249854,1.0043952655761247e-12,0.9999999999979824,1.0131857967266133e-12
73,1701394740000,39078.5,0.00034295835183799524,BEAR,True,0.9999999999979868,0.9999999999475458,0.0,0.0,flat,OK,0.01076659460310169,0.24761108722599884,1.003300384505565e-12,0.9999999999979868,1.0099011535147876e-12
74,1701394800000,39100.0,0.000550023357880343,BEAR,True,0.9999996328913833,0.9999947144283026,0.0,0.0,flat,OK,0.010765929752475947,0.2180888697807991,1.0041422582189355e-12,0.9999996328913833,3.671076126018579e-07
75,1701394860000,39095.5,-0.0001150961373727797,BEAR,True,0.9999999999746039,0.9999999994090765,0.0,0.0,flat,OK,0.010764632670465294,0.19447109582463934,1.0031058719190325e-12,0.9999999999746039,2.439304295199025e-11
76,1701394920000,39071.1,-0.0006243075889833531,BEAR,True,0.9999999999979812,0.9999999999474046,0.0,0.0,flat,OK,0.010764381403158866,0.1755768766597115,1.0047043340532356e-12,0.9999999999979812,1.0141130021577753e-12
77,1701394980000,39078.2,0.000181703483448622,BEAR,True,0.9999999999979858,0.9999999999475229,0.0,0.0,flat,OK,0.010763288470897324,0.1604615013277692,1.0035283899083813e-12,0.9999999999979858,1.0105851697231589e-12
78,1701395040000,39072.7,-0.00014075333768596575,BEAR,True,0.9999999999979894,0.9999999999476116,0.0,0.0,flat,OK,0.010762282266886527,0.14836920106221535,1.0026464477412534e-12,0.9999999999979894,1.00793934322178e-12
79,1701395100000,39046.6,-0.0006682087773736182,BEAR,True,0.999999999852363,0.9999999968181665,0.0,0.0,flat,OK,0.01076240833574951,0.1386953608497723,1.0050368081236005e-12,0.9999999998523631,1.466318535853842e-10
80,1701395160000,39039.9,-0.00017160456715148436,BEAR,True,0.999999999997985,0.999999999947498,0.0,0.0,flat,OK,0.01076150652007637,0.13095628867981784,1.0037771878719433e-12,0.999999999997985,1.0113315636138827e-12
81,1701395220000,39032.9,-0.00017931981480760487,BEAR,True,0.9999999999974313,0.9999999999336973,0.0,0.0,flat,OK,0.01076071082420834,0.12476503094385433,1.0028336113528658e-12,0.9999999999974313,1.565922857871621e-12
82,1701395280000,39006.8,-0.0006688903461475193,BEAR,True,0.9999999999979798,0.9999999999473708,0.0,0.0,flat,OK,0.010760997990640363,0.2998120247550835,1.00504197154176e-12,0.9999999999979798,1.0151259146235449e-12
83,1701395460000,39044.3,0.0009609090169250559,BEAR,True,0.9999997795482358,0.9999967236314872,0.0,0.0,flat,OK,0.010762392032789666,0.25984961980406684,1.0072591281410516e-12,0.9999997795482358,2.204507569265631e-07
84,1701395520000,39080.8,0.0009343988719548963,BEAR,True,0.9999980623148162,0.9999750357409517,0.0,0.0,flat,OK,0.010763506733633195,0.4078796958432535,1.0070574096319125e-12,0.9999980623148162,1.937684176727842e-06
85,1701395580000,39078.3,-6.397207748946523e-05,BEAR,True,0.9999999999979788,0.9999999999473461,0.0,0.0,flat,OK,0.010762409580415296,0.34630375667460284,1.0052860304250414e-12,0.9999999999979788,1.0158580912731575e-12
86,1701395760000,39078.4,2.558961675571858e-06,BEAR,True,0.9999999922951953,0.9999998619608605,0.0,0.0,flat,OK,0.010761433927209036,0.2970430053396823,1.0039593583072963e-12,0.9999999922951953,7.703800710080966e-09
87,1701395820000,39078.4,0.0,BEAR,True,0.9999999999979882,0.9999999999475795,0.0,0.0,flat,OK,0.010760563348686365,0.2576344042717459,1.0029665823578632e-12,0.9999999999979882,1.0088997470716123e-12
88,1701395880000,39076.1,-5.885777532106391e-05,BEAR,True,0.9999998936820418,0.9999983493174744,0.0,0.0,flat,OK,0.010759793406359349,0.22610752341739676,1.0022241614960072e-12,0.9999998936820418,1.0631695604640435e-07
89,1701396000000,39065.1,-0.00028154162138951505,BEAR,True,0.9999999793464681,0.9999996485233443,0.0,0.0,flat,OK,0.010759286669750158,0.20088601873391743,1.002116030159357e-12,0.9999999793464681,2.0652529780243964e-08
90,1701396060000,39049.1,-0.00040965663666161557,BEAR,True,0.9999999999979877,0.9999999999475678,0.0,0.0,flat,OK,0.01075904416753142,0.18070881498713398,1.0030818936613892e-12,0.9999999999979877,1.009245680982255e-12
91,1701396120000,39062.1,0.00033285879925091226,BEAR,True,0.9999998298024181,0.9999974304290654,0.0,0.0,flat,OK,0.010758686577491834,0.16456705198970717,1.0025026875378204e-12,0.9999998298024181,1.7019657942291323e-07
