agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker
1861303,68983.2,0.001,2717832,2717832,1774576246154,true
1861304,68982.4,0.005,2717833,2717833,1774576246154,true
1861305,68981.7,0.013,2717834,2717834,1774576246154,true
1861306,68996.8,0.004,2717836,2717837,1774576320554,true
1861307,68981.6,0.001,2717838,2717838,1774576356116,true
1861308,68976.3,0.001,2717839,2717839,1774576369793,true
1861309,68956.6,0.001,2717840,2717840,1774576381242,true
1861310,68970.4,0.005,2717841,2717841,1774576451542,false
1861311,68972.3,0.005,2717842,2717842,1774576451552,false
1861312,68972.4,0.005,2717843,2717843,1774576451552,false
1861313,69015.7,0.001,2717844,2717844,1774576518113,false
1861314,69016.6,0.01,2717845,2717845,1774576518117,false
1861315,69016.7,0.07,2717846,2717846,1774576518117,false
1861316,69022.5,0.001,2717847,2717847,1774576518117,false
1861317,69022.6,0.001,2717848,2717848,1774576518117,false
1861318,69029.5,0.02,2717849,2717850,1774576518117,false
1861319,69031.6,0.051,2717851,2717851,1774576518117,false
1861320,69021.6,0.07,2717852,2717852,1774576519779,false
1861321,69053.5,0.011,2717853,2717853,1774576532398,true
1861322,69052.9,0.01,2717854,2717854,1774576545311,false
1861323,69053.0,0.033,2717855,2717855,1774576545311,false
1861324,69045.5,0.003,2717856,2717856,1774576563909,false
1861325,69050.7,0.001,2717857,2717857,1774576579339,false
1861326,69050.7,0.001,2717858,2717858,1774576580008,false
1861327,69050.7,0.001,2717859,2717859,1774576581308,false
1861328,69050.7,0.001,2717860,2717860,1774576584873,false
1861329,69050.7,0.001,2717861,2717861,1774576585023,false
1861330,69053.0,0.001,2717862,2717862,1774576592346,false
1861331,69053.0,0.001,2717863,2717863,1774576592948,false
1861332,69053.0,0.001,2717864,2717864,1774576593436,false
1861333,69053.0,0.002,2717865,2717866,1774576595422,false
1861334,69053.0,0.001,2717867,2717867,1774576595642,false
1861335,69053.0,0.001,2717868,2717868,1774576596454,false
1861336,69053.0,0.001,2717869,2717869,1774576597261,false
1861337,69058.1,0.01,2717870,2717870,1774576610057,true
1861338,69070.9,0.001,2717871,2717871,1774576615368,false
1861339,69066.2,0.001,2717872,2717872,1774576681318,true
1861340,69053.9,0.006,2717873,2717874,1774576740801,true
1861341,69052.1,0.001,2717875,2717875,1774576745335,true
1861342,69052.2,0.002,2717876,2717877,1774576758345,true
1861343,69061.9,0.001,2717878,2717878,1774576761160,true
1861344,69061.3,0.069,2717879,2717879,1774576761160,true
1861345,69084.3,0.069,2717880,2717880,1774576799976,true
1861346,69088.9,0.006,2717881,2717883,1774576800513,true
1861347,69086.2,0.013,2717884,2717884,1774576804798,true
1861348,69101.9,0.063,2717885,2717885,1774576821157,true
1861349,69092.8,0.001,2717886,2717886,1774576874856,true
1861350,69102.6,0.03,2717887,2717887,1774576947271,true
1861351,69123.2,0.028,2717888,2717888,1774577027674,true
1861352,69130.4,0.011,2717889,2717889,1774577033455,false
1861353,69130.5,0.034,2717890,2717890,1774577033455,false
1861354,69130.6,0.035,2717891,2717891,1774577033455,false
1861355,69132.0,0.004,2717892,2717892,1774577033455,false
1861356,69132.5,0.01,2717893,2717893,1774577033455,false
1861357,69132.6,0.061,2717894,2717894,1774577033455,false
1861358,69118.4,0.001,2717896,2717896,1774577038908,false
1861359,69132.0,0.3,2717897,2717898,1774577071952,false
1861360,69144.4,0.01,2717899,2717899,1774577073434,true
1861361,69144.5,0.001,2717900,2717900,1774577084698,false
1861362,69097.6,0.005,2717901,2717901,1774577118602,true
1861363,69097.5,0.005,2717902,2717902,1774577118602,true
1861364,69084.7,0.002,2717903,2717903,1774577145060,true
1861365,69078.2,0.001,2717904,2717904,1774577158850,false
1861366,69091.5,0.034,2717905,2717905,1774577162240,true
1861367,69094.6,0.001,2717906,2717906,1774577165462,true
1861368,69085.8,0.005,2717907,2717907,1774577179134,false
1861369,69144.5,0.002,2717908,2717908,1774577400442,false
1861370,69138.3,0.001,2717909,2717909,1774577441056,true
1861371,69143.2,0.005,2717910,2717910,1774577442183,true
1861372,69144.5,0.013,2717911,2717911,1774577457138,false
1861373,69150.2,0.072,2717912,2717912,1774577457249,false
1861374,69201.5,0.07,2717913,2717913,1774577465342,true
1861375,69163.0,0.07,2717914,2717914,1774577502290,true
1861376,69162.9,0.035,2717915,2717915,1774577502290,true
1861377,69162.7,0.005,2717916,2717916,1774577502290,true
1861378,69162.6,0.005,2717917,2717917,1774577502290,true
1861379,69160.9,0.001,2717918,2717918,1774577502290,true
1861380,69157.3,0.105,2717919,2717919,1774577502290,true
1861381,69153.8,0.034,2717920,2717920,1774577517261,true
1861382,69143.4,0.005,2717921,2717921,1774577524818,true
1861383,69118.4,0.07,2717922,2717922,1774577529988,false
1861384,69126.1,0.001,2717923,2717923,1774577529988,false
1861385,69133.0,0.034,2717924,2717926,1774577529988,false
1861386,69133.1,0.014,2717927,2717927,1774577529988,false
1861387,69121.9,0.002,2717928,2717928,1774577533699,false
1861388,69115.8,0.001,2717929,2717929,1774577581161,true
1861389,69133.0,0.001,2717930,2717930,1774577584839,false
1861390,69137.7,0.004,2717931,2717931,1774577584839,false
1861391,69091.5,0.005,2717932,2717932,1774577621494,false
1861392,69102.8,0.01,2717933,2717933,1774577639660,true
1861393,69091.6,0.001,2717934,2717934,1774577658245,false
1861394,69092.3,0.01,2717935,2717935,1774577658245,false
1861395,69092.4,0.014,2717936,2717936,1774577658245,false
1861396,69073.1,0.005,2717937,2717937,1774577769398,false
1861397,69066.0,0.001,2717938,2717938,1774577770109,true
1861398,69065.0,0.003,2717939,2717939,1774577786531,true
1861399,69065.0,0.439,2717940,2717940,1774577787534,true
1861400,69065.0,0.258,2717941,2717947,1774577787763,true
1861401,69031.7,0.001,2717948,2717948,1774577813621,false
1861402,69020.1,0.001,2717949,2717949,1774577941776,true
1861403,69000.0,0.05,2717950,2717950,1774578064183,true
1861404,69000.1,0.004,2717951,2717954,1774578069640,false
1861405,69000.0,0.07,2717955,2717956,1774578069717,true
1861406,69000.1,0.002,2717957,2717958,1774578069760,false
1861407,69000.1,0.001,2717959,2717959,1774578070102,false
1861408,69000.1,0.001,2717960,2717960,1774578076457,false
1861409,69000.1,0.001,2717961,2717961,1774578076610,false
1861410,69000.1,0.001,2717962,2717962,1774578076716,false
