timestamp,percentage,depth,notional
2026-03-27 00:09:01,2.00,66.04400000,4577016.50820000
2026-03-27 00:09:01,3.00,73.88200000,5131689.03630000
2026-03-27 00:09:01,4.00,76.34000000,5306800.55200000
2026-03-27 00:09:01,5.00,76.91700000,5348392.62890000
2026-03-27 00:09:30,-5.00,69.64100000,4745053.42940000
2026-03-27 00:09:30,-4.00,68.95200000,4699713.26880000
2026-03-27 00:09:30,-3.00,63.94500000,4366117.43100000
2026-03-27 00:09:30,-2.00,51.38900000,3521418.55910000
2026-03-27 00:09:30,-1.00,42.05600000,2888159.56620000
2026-03-27 00:09:30,-0.20,6.30300000,434166.97650000
2026-03-27 00:09:30,0.20,6.63100000,457868.46120000
2026-03-27 00:09:30,1.00,37.66600000,2606080.93670000
2026-03-27 00:09:30,2.00,47.66000000,3305100.23130000
2026-03-27 00:09:30,3.00,55.49800000,3859802.47290000
2026-03-27 00:09:30,4.00,57.95600000,4034913.98860000
2026-03-27 00:09:30,5.00,58.53700000,4076795.66550000
2026-03-27 00:10:04,-5.00,68.77600000,4686772.95200000
2026-03-27 00:10:04,-4.00,68.08700000,4641432.79140000
2026-03-27 00:10:04,-3.00,63.08200000,4307894.98900000
2026-03-27 00:10:04,-2.00,50.52700000,3463171.14990000
2026-03-27 00:10:04,-1.00,41.34300000,2839896.52480000
2026-03-27 00:10:04,-0.20,5.56000000,383007.12040000
2026-03-27 00:10:04,0.20,5.50600000,380117.96040000
2026-03-27 00:10:04,1.00,41.40900000,2865948.69300000
2026-03-27 00:10:04,2.00,51.17500000,3549175.65600000
2026-03-27 00:10:04,3.00,59.23900000,4119843.53080000
2026-03-27 00:10:04,4.00,61.69700000,4294955.04650000
2026-03-27 00:10:04,5.00,62.27800000,4336836.72340000
2026-03-27 00:10:33,-5.00,84.46900000,5765165.86990000
2026-03-27 00:10:33,-4.00,83.83100000,5723201.90930000
2026-03-27 00:10:33,-3.00,78.77500000,5386287.90690000
2026-03-27 00:10:33,-2.00,66.45900000,4557678.81220000
2026-03-27 00:10:33,-1.00,57.03800000,3918362.89480000
2026-03-27 00:10:33,-0.20,4.73100000,325867.93860000
2026-03-27 00:10:33,0.20,3.45800000,238715.14240000
2026-03-27 00:10:33,1.00,59.81900000,4140743.61200000
2026-03-27 00:10:33,2.00,69.13200000,4792122.12300000
2026-03-27 00:10:33,3.00,77.67400000,5396425.20070000
