bar_idx,ts_ms,close,action,confidence,state,regime,ofi_z,hawkes,prob_above,prob_below
166,1701402240000,39181.0,HOLD,0.0,NORMAL,RANGING,-2.4192,0.4,0.5,0.5
167,1701402300000,39204.9,HOLD,0.0,NORMAL,RANGING,2.1399,0.2,0.5,0.5
168,1701402360000,39206.5,BUY,0.7281,PRE_SWEEP_BUILDUP,RANGING,-0.2588,2.7,0.8009,0.1991
169,1701402420000,39196.9,BUY,0.6086,PRE_SWEEP_BUILDUP,RANGING,-0.4537,2.0,0.6513,0.3487
170,1701402480000,39168.5,HOLD,0.0,NORMAL,RANGING,-0.3866,1.2,0.5,0.5
171,1701402540000,39176.5,HOLD,0.0,NORMAL,RANGING,-0.1468,0.2,0.5,0.5
172,1701402600000,39164.9,HOLD,0.0,NORMAL,RANGING,-0.3941,0.3,0.5,0.5
173,1701402660000,39155.3,HOLD,0.0,NORMAL,RANGING,-0.2727,0.2,0.5,0.5
174,1701402720000,39168.0,HOLD,0.0,NORMAL,RANGING,-0.2595,0.1,0.5,0.5
175,1701402780000,39176.5,HOLD,0.0,NORMAL,RANGING,-0.2155,0.4,0.5,0.5
176,1701402840000,39174.9,HOLD,0.0,NORMAL,RANGING,-0.3315,0.2,0.5,0.5
177,1701402900000,39167.5,HOLD,0.0,NORMAL,RANGING,-0.2497,0.3,0.5,0.5
178,1701403020000,39219.1,BUY,0.7132,PRE_SWEEP_BUILDUP,RANGING,-0.2307,1.5,0.7882,0.2118
179,1701403080000,39196.5,HOLD,0.0,NORMAL,RANGING,-0.3896,0.3,0.5,0.5
180,1701403140000,39183.4,HOLD,0.0,NORMAL,RANGING,-0.2646,0.7,0.5,0.5
181,1701403200000,39200.9,HOLD,0.0,NORMAL,RANGING,-0.2169,0.3,0.5,0.5
182,1701403260000,39218.5,HOLD,0.0,NORMAL,RANGING,-0.4005,0.4,0.5,0.5
183,1701403320000,39217.9,HOLD,0.0,NORMAL,RANGING,-0.3955,0.1,0.5,0.5
184,1701403380000,39218.0,HOLD,0.0,NORMAL,RANGING,-0.0697,0.3,0.5,0.5
185,1701403440000,39212.1,HOLD,0.0,NORMAL,RANGING,1.1235,0.1,0.5,0.5
186,1701403500000,39219.2,HOLD,0.0,NORMAL,RANGING,1.2081,1.2,0.5,0.5
187,1701403560000,39224.0,HOLD,0.0,NORMAL,RANGING,2.5909,0.1,0.5,0.5
188,1701403620000,39222.1,HOLD,0.0,NORMAL,RANGING,-2.7949,0.3,0.5,0.5
189,1701403680000,39193.6,HOLD,0.0,NORMAL,RANGING,-0.2282,0.2,0.5,0.5
