bar_idx,ts_ms,price,allow_trade,direction,confidence,alpha_dir,alpha_conf,alpha_pa,alpha_pb,smc_sig,smc_conf,market_state,substate,regime_type,regime_conf,spread_pct,imbalance,ofp,ofp_pressure,institutional_score,ai_score,confluence_score,ob_score,cascade_probability,fvg_exists,open_interest_missing,reason,violations
437,1701420840000,39500.8,False,HOLD,0.07,NEUTRAL,0.313973,0.5,0.5,NONE,4.0,CHOPPY,CHOPPY,manipulation,0.9183,6.1e-05,0.636364,0.872727,0.872727,0.7,0.0,3.0206,0.8008,0.0,True,True,open_interest_missing,
438,1701420900000,39526.4,False,HOLD,0.07,NEUTRAL,0.317281,0.5,0.5,NONE,4.0,CHOPPY,CHOPPY,manipulation,0.9183,0.000172,-0.333333,-0.409045,-0.409045,0.7,0.0,3.0873,0.5412,0.0,False,True,open_interest_missing,
439,1701420960000,39528.8,False,HOLD,0.07,NEUTRAL,0.300097,0.5,0.5,NONE,5.0,CHOPPY,CHOPPY,manipulation,0.9183,0.000506,-0.932203,-0.976271,-0.976271,0.7,0.0,4.207,0.6473,0.0,False,True,open_interest_missing,
440,1701421020000,39504.9,False,HOLD,0.11,NEUTRAL,0.307568,0.5,0.5,NONE,4.0,CHOPPY,CHOPPY,manipulation,0.9183,0.000309,0.333333,-0.533333,-0.533333,1.1,0.0,3.0282,0.6657,0.0,False,True,open_interest_missing,
441,1701421080000,39498.2,False,HOLD,0.05,NEUTRAL,0.312797,0.5,0.5,NONE,4.0,CHOPPY,CHOPPY,manipulation,0.9183,0.000218,0.0,-0.65,-0.65,0.5,0.0,3.8486,0.6735,0.0,False,True,open_interest_missing,
442,1701421200000,39519.5,False,HOLD,0.07,NEUTRAL,0.296958,0.5,0.5,NONE,5.0,CHOPPY,CHOPPY,trend,0.6094,0.000276,0.997685,0.290127,0.290127,0.7,0.0,2.745,0.5807,0.0,True,True,open_interest_missing,
443,1701421260000,39540.0,False,LONG,0.14,NEUTRAL,0.305371,0.5,0.5,NONE,4.0,CHOPPY,CHOPPY,trend,0.6094,3e-06,-0.2,-0.069987,-0.069987,1.4,1.0,2.2462,0.5954,0.0,True,True,open_interest_missing,
444,1701421320000,39550.0,False,LONG,0.18,NEUTRAL,0.31126,0.5,0.5,NONE,6.0,CHOPPY,CHOPPY,trend,0.6094,0.000341,-0.333333,0.533333,0.533333,1.8,1.0,4.1218,0.8685,0.0,True,True,open_interest_missing,
445,1701421380000,39562.4,False,LONG,0.14,NEUTRAL,0.295882,0.5,0.5,NONE,6.0,CHOPPY,CHOPPY,trend,0.6094,0.000394,0.995745,0.81273,0.81273,1.4,1.0,3.721,0.7963,0.0,True,True,open_interest_missing,
446,1701421440000,39552.0,False,HOLD,0.07,NEUTRAL,0.285117,0.5,0.5,NONE,6.0,CHOPPY,CHOPPY,trend,0.6094,0.000528,-0.943662,-0.980282,-0.980282,0.7,0.0,4.1631,0.7904,0.0,True,True,open_interest_missing,
447,1701421500000,39587.4,False,LONG,0.23,NEUTRAL,0.277582,0.5,0.5,NONE,6.0,CHOPPY,CHOPPY,trend,0.6094,0.000162,-0.918919,0.328378,0.328378,2.3,1.0,4.2101,0.8219,0.0,True,True,open_interest_missing,
448,1701421560000,39623.0,False,LONG,0.3,NEUTRAL,0.291808,0.5,0.5,NONE,5.0,CHOPPY,CHOPPY,trend,0.6094,0.000293,-0.2,0.133913,0.133913,3.0,1.0,2.8938,0.7098,0.0,True,True,open_interest_missing,
449,1701421620000,39603.2,False,HOLD,0.07,NEUTRAL,0.282265,0.5,0.5,NONE,4.0,COMPRESSION,COMPRESSION,trend,0.6094,0.000543,-0.975309,-0.256341,-0.256341,0.7,0.0,2.5733,0.6674,0.0,True,True,open_interest_missing,
450,1701421680000,39597.4,False,HOLD,0.07,NEUTRAL,0.275586,0.5,0.5,NONE,6.0,COMPRESSION,COMPRESSION,trend,0.6094,0.000313,-0.971631,-0.990071,-0.990071,0.7,0.0,4.2075,0.7462,0.0,True,True,open_interest_missing,
451,1701421740000,39637.4,False,HOLD,0.07,NEUTRAL,0.27091,0.5,0.5,NONE,6.0,COMPRESSION,COMPRESSION,trend,0.6094,0.000605,0.639175,0.768665,0.768665,0.7,0.0,3.7433,0.804,0.0,True,True,open_interest_missing,
452,1701421800000,39662.9,False,LONG,0.14,NEUTRAL,0.287137,0.5,0.5,NONE,5.0,COMPRESSION,COMPRESSION,trend,0.6094,0.00029,0.5,0.580597,0.580597,1.4,1.0,3.351,0.7865,0.0,True,True,open_interest_missing,
453,1701421860000,39624.1,False,HOLD,0.07,NEUTRAL,0.298496,0.5,0.5,NONE,7.0,COMPRESSION,COMPRESSION,trend,0.6094,0.000214,0.875,0.730062,0.730062,0.7,0.0,4.6824,0.7831,0.0,True,True,open_interest_missing,
454,1701421920000,39616.5,False,HOLD,0.11,NEUTRAL,0.306447,0.5,0.5,NONE,6.0,COMPRESSION,COMPRESSION,trend,0.6094,6.1e-05,0.333333,-0.509704,-0.509704,1.1,0.0,4.0728,0.7768,0.0,True,True,open_interest_missing,
455,1701421980000,39590.4,False,SHORT,0.26,NEUTRAL,0.292513,0.5,0.5,NONE,6.0,CHOPPY,CHOPPY,trend,0.6094,0.000225,-0.903226,-0.963544,-0.963544,2.6,-1.0,3.0461,0.7667,0.0,True,True,open_interest_missing,
456,1701422040000,39639.7,False,HOLD,0.07,NEUTRAL,0.302259,0.5,0.5,NONE,6.0,CHOPPY,CHOPPY,trend,0.6094,0.000174,0.333333,0.670241,0.670241,0.7,0.0,3.7267,0.8154,0.0,True,True,open_interest_missing,
457,1701422100000,39662.6,False,HOLD,0.07,NEUTRAL,0.289581,0.5,0.5,NONE,5.0,COMPRESSION,COMPRESSION,trend,0.6611,0.000348,0.997872,0.764712,0.764712,0.7,0.0,2.5082,0.8656,0.0,True,True,open_interest_missing,
458,1701422160000,39790.0,False,LONG,0.41,NEUTRAL,0.280707,0.5,0.5,NONE,5.0,COMPRESSION,COMPRESSION,trend,0.6611,0.000206,-0.92,0.080309,0.080309,4.1,1.0,3.7727,0.8178,0.0,True,True,open_interest_missing,
459,1701422220000,39808.0,False,LONG,0.07,NEUTRAL,0.293995,0.5,0.5,NONE,6.0,COMPRESSION,COMPRESSION,trend,0.6611,0.000749,0.333333,0.639345,0.639345,0.7,1.0,4.4826,0.862,0.0,True,True,open_interest_missing,
460,1701422280000,39891.4,False,HOLD,0.16,NEUTRAL,0.283797,0.5,0.5,NONE,5.0,COMPRESSION,COMPRESSION,trend,0.6611,0.000456,0.9375,0.13833,0.13833,1.6,0.0,3.2063,0.6622,0.0,True,True,open_interest_missing,
461,1701422340000,39800.1,False,HOLD,0.07,NEUTRAL,0.296158,0.5,0.5,NONE,4.0,COMPRESSION,COMPRESSION,trend,0.6611,0.000163,0.2,0.292064,0.292064,0.7,0.0,2.755,0.7781,0.0,True,True,open_interest_missing,
462,1701422400000,39809.3,False,HOLD,0.07,NEUTRAL,0.30481,0.5,0.5,NONE,4.0,COMPRESSION,COMPRESSION,trend,0.6611,0.0001,-0.333333,-0.089746,-0.089746,0.7,0.0,2.2845,0.7047,0.0,True,True,open_interest_missing,
463,1701422460000,39852.1,False,HOLD,0.07,NEUTRAL,0.291367,0.5,0.5,NONE,4.0,COMPRESSION,COMPRESSION,trend,0.6611,0.00064,-0.921569,-0.403681,-0.403681,0.7,0.0,2.5986,0.6162,0.0,True,True,open_interest_missing,
464,1701422520000,39855.6,False,HOLD,0.07,NEUTRAL,0.301457,0.5,0.5,NONE,4.0,COMPRESSION,COMPRESSION,trend,0.6611,0.000379,-0.333333,-0.097939,-0.097939,0.7,0.0,2.3089,0.7147,0.0,True,True,open_interest_missing,
465,1701422580000,39884.8,False,HOLD,0.16,NEUTRAL,0.30852,0.5,0.5,NONE,5.0,COMPRESSION,COMPRESSION,trend,0.6611,0.000115,-0.76,0.261554,0.261554,1.6,0.0,2.8463,0.8675,0.0,True,True,open_interest_missing,
466,1701422640000,39860.9,False,HOLD,0.11,NEUTRAL,0.293964,0.5,0.5,NONE,5.0,COMPRESSION,COMPRESSION,trend,0.6611,0.000444,-0.520548,0.12084,0.12084,1.1,0.0,3.3006,0.8054,0.0,True,True,open_interest_missing,
